,inputs,preds,golds
0,modern2poem: 在 我 东 晋 鼎 盛 日 ，,generated:,"在 我 中 晋 ，
"
1,modern2poem: 没 有 时 间 安 居 休 息 ， 都 是 为 了 和 猃 狁 打 仗 。,generated:,"不 遑 启 居 ， 猃 狁 之 故 。
"
2,modern2poem: 瞻 望 不 见 人 影 ， 泪 流 纷 如 雨 降 。,generated:,"瞻 望 弗 及 ， 泣 涕 如 雨 。
"
3,modern2poem: 问 我 为 何 能 如 此 ， 只 要 心 志 高 远 ， 自 然 就 会 觉 得 所 处 地 方 僻 静 了 。,"generated:以 以, 以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","问 君 何 能 尔 ？ 心 远 地 自 偏 。
"
4,modern2poem: 一 行 秋 雁 高 高 地 掠 过 了 星 空 ， 千 家 万 户 传 来 了 捣 衣 的 声 响 。,generated:,"星 河 秋 一 雁 ， 砧 杵 夜 千 家 。
"
5,modern2poem: 连 日 雨 后 ， 树 木 稀 疏 的 村 落 里 炊 烟 冉 冉 升 起 。 烧 好 的 粗 茶 淡 饭 是 送 给 村 东 耕 耘 的 人 。,generated:,"积 雨 空 林 烟 火 迟 ， 蒸 藜 炊 黍 饷 东 菑 。
"
6,modern2poem: 将 士 何 须 哀 怨 那 柳 树 不 发 芽 ，,generated:,"羌 笛 何 须 怨 杨 柳 ，
"
7,modern2poem: 我 的 头 发 刚 刚 盖 过 额 头 ， 便 同 你 一 起 在 门 前 做 折 花 的 游 戏 。,generated:,"妾 发 初 覆 额 ， 折 花 门 前 剧 。
"
8,modern2poem: 织 布 机 札 札 不 停 地 响 个 不 停 。,generated:,"札 札 弄 机 杼 。
"
9,modern2poem: 古 木 参 天 却 没 有 人 行 路 径 ， 深 山 里 何 处 传 来 古 寺 鸣 钟 。,generated:,"古 木 无 人 径 ， 深 山 何 处 钟 。
"
10,modern2poem: 辜 负 你 频 繁 地 来 把 我 慰 问 。,generated:,"愧 君 相 见 频 。
"
11,modern2poem: 唉 呀 ， 我 那 几 个 情 投 意 合 的 伙 伴 ， 怎 么 能 到 年 老 ， 还 不 再 返 回 故 乡 ？,"generated:“我那几 情 投,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","嗟 哉 吾 党 二 三 子 ， 安 得 至 老 不 更 归 。
"
12,modern2poem: 是 君 子 的 好 配 偶 。,generated:,"君 子 好 逑 。
"
13,modern2poem: 什 么 时 候 能 够 再 举 杯 共 饮 ，,generated:,"几 时 杯 重 把 ，
"
14,modern2poem: 此 次 出 征 为 国 效 力 ， 本 来 就 打 算 马 革 裹 尸 ， 没 有 准 备 活 着 回 来 。,generated:,"古 来 征 战 几 人 回 ？
"
15,modern2poem: 便 随 性 写 成 诗 一 首 来 记 录 感 想 ，,generated:,"聊 书 所 怀 ，
"
16,modern2poem: 云 梦 大 泽 水 气 蒸 腾 白 白 茫 茫 ， 波 涛 汹 涌 似 乎 把 岳 阳 城 撼 动 。,generated:,"气 蒸 云 梦 泽 ， 波 撼 岳 阳 城 。
"
17,modern2poem: 但 苍 翠 的 山 色 却 浓 得 仿 佛 就 要 润 湿 了 人 的 衣 裳 一 样 。,generated:,"空 翠 湿 人 衣 。
"
18,modern2poem: 看 到 这 种 情 景 我 很 伤 心 ，,generated:诗歌 看 到 那 种情景 我 心 。,"感 此 伤 妾 心 ，
"
19,modern2poem: 多 少 画 家 画 出 的 都 与 原 貌 不 同 。,generated:,"画 工 如 山 貌 不 同 。
"
20,modern2poem: 秋 风 吹 送 捣 衣 声 声 ， 家 家 怀 念 戍 边 之 人 。,generated:,"秋 风 吹 不 尽 ， 总 是 玉 关 情 。
"
21,modern2poem: 色 彩 鲜 艳 红 似 火 。,generated:,"灼 灼 其 华 。
"
22,modern2poem: 长 大 成 人 后 竟 然 意 外 相 逢 。,generated:,"长 大 一 相 逢 。
"
23,modern2poem: 但 是 这 些 又 怎 比 得 上 青 山 绿 水 的 道 路 上 ， 迎 面 飞 舞 而 来 的 花 瓣 呢 。,generated:,"何 如 山 水 路 ， 对 面 即 飞 花 。
"
24,modern2poem: 左 臂 挂 着 一 个 破 筐 。,generated:,"左 臂 悬 敝 筐 。
"
25,modern2poem: 定 要 登 上 泰 山 顶 峰 ， 俯 瞰 群 山 ， 豪 情 满 怀 。,generated:,"会 当 凌 绝 顶 ， 一 览 众 山 小 。
"
